Sigla Empresa,Nombre,Fecha,Año,Número de Mes,Origen,Nombre,Ciudad Origen,Pais Origen,Destino,Nombre,Ciudad Destino,Pais Destino,Tráfico (N/I),Tipo Vuelo,Pasajeros,PesoCargaYCorreo
0EC,SAE,01-dic-21 00:00:00,2021,12,A02,CAÑO COLORADO,PUERTO INIRIDA,COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,T,3,13
0EC,SAE,01-dic-21 00:00:00,2021,12,A07,MORICHAL VIEJO,SAN JOSE DEL GUAVIARE,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,10,58
0EC,SAE,01-dic-21 00:00:00,2021,12,A08,EL PLACER,CUMARIBO,COLOMBIA,GYM,GUAYMARAL,CHIA,COLOMBIA,N,T,3,15
0EC,SAE,01-dic-21 00:00:00,2021,12,A09,PUNTA TIGRE,PUERTO INIRIDA,COLOMBIA,MVP,MITU,MITU,COLOMBIA,N,T,2,45
0EC,SAE,01-dic-21 00:00:00,2021,12,A13,MIRITI PARANA,MIRITI-PARANA,COLOMBIA,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,N,T,4,0
0EC,SAE,01-dic-21 00:00:00,2021,12,A13,MIRITI PARANA,MIRITI-PARANA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,3,15
0EC,SAE,01-dic-21 00:00:00,2021,12,ACR,ARARACUARA,ARARACUARA,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,3,0
0EC,SAE,01-dic-21 00:00:00,2021,12,ACR,ARARACUARA,ARARACUARA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,2,15
0EC,SAE,01-dic-21 00:00:00,2021,12,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,8,45
0EC,SAE,01-dic-21 00:00:00,2021,12,CRU,CARURU,CARURU,COLOMBIA,A07,MORICHAL VIEJO,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,0,0
0EC,SAE,01-dic-21 00:00:00,2021,12,CRU,CARURU,CARURU,COLOMBIA,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,N,T,4,45
0EC,SAE,01-dic-21 00:00:00,2021,12,CRU,CARURU,CARURU,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,21,225
0EC,SAE,01-dic-21 00:00:00,2021,12,GYM,GUAYMARAL,CHIA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0,69
0EC,SAE,01-dic-21 00:00:00,2021,12,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,A02,CAÑO COLORADO,PUERTO INIRIDA,COLOMBIA,N,T,1,13
