Edad;Retirado;ViajesDeNegocio;TarifaSalarial;Departamento;DistanciaDesdeCasa;Educacion;CampoEducacion;EmpleadosACargo;NumeroEmpleado;NivelSatisfaccion;Genero;SalarioPorHora;NivelInvolucramiento;NivelResponsabilidad;Rol;SatisfaccionTrabajo;EstadoCivil;SalarioMensual;TarifaMensual;NumEmpresasDondeTrabaja;MasDe18Horas;HorasExtra;PorcentajeIncrementoSalarioUltimoAnnio;NivelRendimiento;SatisfaccionEmpresa;HorasEstandar;PlanSalarioComplementario;TotalAnniosTrabajados;FormacionUltimoAnnio;BalanceTrabajoVida;FechaIngresoEmpresa;AnniosEnEmpresa;AnniosRolActual;AnniosDesdeUltimaPromocion;AnniosActualDirector
41;Si;Viaja-Pocas-Veces;1102;Ventas;1;2;Ciencias de la vida;1;1;2;Femenino;94;3;2;Ejecutivo de ventas;4;Soltero;5993;19479;8;S;Si;11;3;1;80;0;8;0;1;26/07/2015;6;4;0;5
49;No;Viaja-Frecuentemente;279;Investigacion & Desarrollo;8;1;Ciencias de la vida;1;2;3;Masculino;61;2;2;Cientifico de investigacion;2;Casado;5130;24907;1;S;No;23;4;4;80;1;10;3;3;15/02/2011;10;7;1;7
37;Si;Viaja-Pocas-Veces;1373;Investigacion & Desarrollo;2;2;Otro;1;4;4;Masculino;92;2;1;Tecnico de laboratorio;3;Soltero;2090;2396;6;S;Si;15;3;2;80;0;7;3;3;2/06/2021;0;0;0;0
33;No;Viaja-Frecuentemente;1392;Investigacion & Desarrollo;3;4;Ciencias de la vida;1;5;4;Femenino;56;3;1;Cientifico de investigacion;3;Casado;2909;23159;1;S;Si;11;3;3;80;0;8;3;3;26/09/2013;8;7;3;0
27;No;Viaja-Pocas-Veces;591;Investigacion & Desarrollo;2;1;Medicina;1;7;1;Masculino;40;3;1;Tecnico de laboratorio;2;Casado;3468;16632;9;S;No;12;3;4;80;1;6;3;3;2/03/2019;2;2;2;2
32;No;Viaja-Frecuentemente;1005;Investigacion & Desarrollo;2;2;Ciencias de la vida;1;8;4;Masculino;79;3;1;Tecnico de laboratorio;4;Soltero;3068;11864;0;S;No;13;3;3;80;0;8;2;2;8/07/2014;7;7;3;6
59;No;Viaja-Pocas-Veces;1324;Investigacion & Desarrollo;3;3;Medicina;1;10;3;Femenino;81;4;1;Tecnico de laboratorio;1;Casado;2670;9964;4;S;Si;20;4;1;80;3;12;3;2;6/07/2020;1;0;0;0
30;No;Viaja-Pocas-Veces;1358;Investigacion & Desarrollo;24;1;Ciencias de la vida;1;11;4;Masculino;67;3;1;Tecnico de laboratorio;3;Divorciado;2693;13335;1;S;No;22;4;2;80;1;1;2;3;15/08/2020;1;0;0;0
38;No;Viaja-Frecuentemente;216;Investigacion & Desarrollo;23;3;Ciencias de la vida;1;12;4;Masculino;44;2;3;Director de manufactura;3;Soltero;9526;8787;0;S;No;21;4;2;80;0;10;2;3;13/10/2012;9;7;1;8
36;No;Viaja-Pocas-Veces;1299;Investigacion & Desarrollo;27;3;Medicina;1;13;3;Masculino;94;3;2;Representante atencion medica;3;Casado;5237;16577;6;S;No;13;3;2;80;2;17;3;2;15/07/2014;7;7;7;7
35;No;Viaja-Pocas-Veces;809;Investigacion & Desarrollo;16;3;Medicina;1;14;1;Masculino;84;4;1;Tecnico de laboratorio;2;Casado;2426;16479;0;S;No;13;3;3;80;1;6;5;3;26/05/2016;5;4;0;3
29;No;Viaja-Pocas-Veces;153;Investigacion & Desarrollo;15;2;Ciencias de la vida;1;15;4;Femenino;49;2;2;Tecnico de laboratorio;3;Soltero;4193;12682;0;S;Si;12;3;4;80;0;10;3;3;11/07/2012;9;5;0;8
