CODIGOTX,MOTIVOCAPTURA,ATRIB
02,3Z,50000000.0
02,6D,50000000.0
02,D1,20000000.0
02,D2,12000000.0
02,D3,5000000.0
02,D7,5600000.0
02,G2,500000.0
04,C0,50000000.0
04,C1,2000000.0
04,C3,50000000.0
04,C4,8000000.0
04,C5,50000000.0
04,C6,30000000.0
04,C8,25000000.0
04,C9,50000000.0
04,DV,50000000.0
04,E1,50000000.0
04,PF,25000000.0
04,PG,50000000.0
04,SF,500000.0
04,UP,50000000.0
04,ZZ,50000000.0
05,B1,7000000.0
05,B2,150000.0
05,B3,2000000.0
05,B6,50000000.0
05,B9,1200000.0
05,LJ,1000000.0
05,RG,50000000.0
05,X4,5000000.0
06,D0,50000000.0
06,D1,1000000.0
06,D2,500000.0
06,D3,5000000.0
06,D5,5000000.0
06,J6,8000000.0
06,UC,50000000.0
06,YY,25000000.0
0A,DE,50000000.0
0B,A3,50000000.0
0C,CG,50000000.0
0D,DF,50000000.0
0G,D1,50000000.0
0G,RL,50000000.0
0H,H2,50000000.0
0I,A4,50000000.0
0O,CA,38000000.0
0P,X1,50000000.0
0P,X2,50000000.0
0Q,A7,15000000.0
0Q,OQ,50000000.0
0R,0R,50000000.0
0R,A8,15000000.0
0R,D1,50000000.0
0T,0T,50000000.0
0T,A0,15000000.0
0T,D1,5000000.0
0V,0V,50000000.0
0V,0X,50000000.0
0V,B7,50000000.0
0V,GV,50000000.0
0V,IO,10000000.0
0V,IV,30500000.0
0V,IX,10000000.0
0V,IY,10000000.0
0V,PU,50000000.0
0W,BC,100000.0
0Y,0Y,52000000.0
1A,1A,2000000.0
1B,1B,25000000.0
1D,1D,50000000.0
1E,1E,50000000.0
1F,1F,35000000.0
1I,1I,50000000.0
1I,D1,50000000.0
1J,1J,6000000.0
1J,D1,50000000.0
1K,1K,50000000.0
1K,D1,50000000.0
1L,1L,1000000.0
1L,D1,50000000.0
1M,1M,1000000.0
1N,1N,50000000.0
1O,1O,30000000.0
1O,D1,50000000.0
1Z,1Z,5000000.0
27,G1,8000000.0
29,H1,50000000.0
2A,2A,50000000.0
2B,2B,50000000.0
37,AT,50000000.0
38,C3,800000.0
39,C3,1000000.0
3U,3U,50000000.0
3V,3V,1200000.0
3X,3X,50000000.0
3Y,3Y,25000.0
46,L1,40000000.0
4A,4A,50000000.0
4G,4G,1300000.0
4H,4H,50000000.0
4H,D1,50000000.0
